"Name","DisplayName","Status","StartType","Time"
"TermService","Remote Desktop Services","Stopped","Manual","04-22-2024 14:09:32"
"Themes","Themes","Running","Automatic","04-22-2024 14:09:32"
"TieringEngineService","Storage Tiers Management","Stopped","Manual","04-22-2024 14:09:32"
"TimeBrokerSvc","Time Broker","Running","Manual","04-22-2024 14:09:32"
"TokenBroker","Web Account Manager","Running","Manual","04-22-2024 14:09:32"
"TrkWks","Distributed Link Tracking Client","Running","Automatic","04-22-2024 14:09:32"
"TroubleshootingSvc","Recommended Troubleshooting Service","Stopped","Manual","04-22-2024 14:09:32"
"TrustedInstaller","Windows Modules Installer","Stopped","Manual","04-22-2024 14:09:32"
"tzautoupdate","Auto Time Zone Updater","Stopped","Disabled","04-22-2024 14:09:32"
"UdkUserSvc_94919","Udk User Service_94919","Stopped","Manual","04-22-2024 14:09:32"
"uhssvc","Microsoft Update Health Service","Stopped","Disabled","04-22-2024 14:09:32"
"UmRdpService","Remote Desktop Services UserMode Port Redirector","Stopped","Manual","04-22-2024 14:09:32"
"UnistoreSvc_94919","User Data Storage_94919","Stopped","Manual","04-22-2024 14:09:32"
"upnphost","UPnP Device Host","Stopped","Manual","04-22-2024 14:09:32"
"UserDataSvc_94919","User Data Access_94919","Stopped","Manual","04-22-2024 14:09:32"
"UserManager","User Manager","Running","Automatic","04-22-2024 14:09:32"
"UsoSvc","Update Orchestrator Service","Running","Automatic","04-22-2024 14:09:32"
"VacSvc","Volumetric Audio Compositor Service","Stopped","Manual","04-22-2024 14:09:32"
"VaultSvc","Credential Manager","Running","Manual","04-22-2024 14:09:32"
"VBoxSDS","VirtualBox system service","Stopped","Manual","04-22-2024 14:09:32"
"vds","Virtual Disk","Stopped","Manual","04-22-2024 14:09:32"
"vmcompute","Hyper-V Host Compute Service","Running","Manual","04-22-2024 14:09:32"
"vmicguestinterface","Hyper-V Guest Service Interface","Stopped","Manual","04-22-2024 14:09:32"
"vmicheartbeat","Hyper-V Heartbeat Service","Stopped","Manual","04-22-2024 14:09:32"
"vmickvpexchange","Hyper-V Data Exchange Service","Stopped","Manual","04-22-2024 14:09:32"
"vmicrdv","Hyper-V Remote Desktop Virtualization Service","Stopped","Manual","04-22-2024 14:09:32"
"vmicshutdown","Hyper-V Guest Shutdown Service","Stopped","Manual","04-22-2024 14:09:32"
"vmictimesync","Hyper-V Time Synchronization Service","Stopped","Manual","04-22-2024 14:09:32"
"vmicvmsession","Hyper-V PowerShell Direct Service","Stopped","Manual","04-22-2024 14:09:32"
"vmicvss","Hyper-V Volume Shadow Copy Requestor","Stopped","Manual","04-22-2024 14:09:32"
"VSInstallerElevationService","Visual Studio Installer Elevation Service","Stopped","Manual","04-22-2024 14:09:32"
"VSS","Volume Shadow Copy","Stopped","Manual","04-22-2024 14:09:32"
"W32Time","Windows Time","Stopped","Manual","04-22-2024 14:09:32"
"WaaSMedicSvc","Windows Update Medic Service","Stopped","Manual","04-22-2024 14:09:32"
"WalletService","WalletService","Stopped","Manual","04-22-2024 14:09:32"
"WarpJITSvc","WarpJITSvc","Stopped","Manual","04-22-2024 14:09:32"
"wbengine","Block Level Backup Engine Service","Stopped","Manual","04-22-2024 14:09:32"
"WbioSrvc","Windows Biometric Service","Stopped","Manual","04-22-2024 14:09:32"
"Wcmsvc","Windows Connection Manager","Running","Automatic","04-22-2024 14:09:32"
"wcncsvc","Windows Connect Now - Config Registrar","Stopped","Manual","04-22-2024 14:09:32"
"WdiServiceHost","Diagnostic Service Host","Running","Manual","04-22-2024 14:09:32"
"WdiSystemHost","Diagnostic System Host","Stopped","Manual","04-22-2024 14:09:32"
"WdNisSvc","Microsoft Defender Antivirus Network Inspection Service","Running","Manual","04-22-2024 14:09:32"
"WebClient","WebClient","Stopped","Manual","04-22-2024 14:09:32"
"Wecsvc","Windows Event Collector","Stopped","Manual","04-22-2024 14:09:32"
"WEPHOSTSVC","Windows Encryption Provider Host Service","Stopped","Manual","04-22-2024 14:09:32"
"wercplsupport","Problem Reports Control Panel Support","Stopped","Manual","04-22-2024 14:09:32"
"WerSvc","Windows Error Reporting Service","Stopped","Manual","04-22-2024 14:09:32"
